,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,x_geo,y_geo,transaction_date,log_price,set,zipcode,PREFERRED_CITY,address
0,3,2.25,1970,35100,2.0,0,0,4,9,1970,1977,-121.991,47.4635,2014-05-02,12.988831984779804,train,98027,ISSAQUAH,"Southeast 154th Street, Mirrormont, Issaquah, King County, Washington, United States"
1,3,2.5,2600,4750,1.0,0,0,4,9,1700,1951,-122.4,47.6833,2014-05-02,13.579788224443204,train,98117,SEATTLE,"34th Avenue Northwest, Loyal Heights, Ballard, Seattle, King County, Washington, United States"
2,5,2.5,2820,67518,2.0,0,0,3,8,2820,1979,-122.025,47.5794,2014-05-02,13.422467969854669,train,98029,ISSAQUAH,
3,4,2.5,3310,6500,2.0,0,0,3,8,3310,2012,-121.87,47.515,2014-05-02,13.226723392728571,train,98065,SNOQUALMIE,"Southeast Terrace Street, Snoqualmie, King County, Washington, United States"
4,4,2.25,2160,8119,1.0,0,0,3,8,1080,1966,-122.177,47.5443,2014-05-02,12.994530005894443,train,98006,BELLEVUE,"Southeast 65th Street, Bellevue, King County, Washington, United States"
5,2,2.5,1630,1368,2.0,0,0,3,7,1280,2009,-122.363,47.5489,2014-05-02,12.594730635321955,train,98106,SEATTLE,"Delridge Way Southwest, Delridge, Seattle, King County, Washington, United States"
6,5,2.5,2210,9655,1.0,0,0,3,8,1460,1976,-122.222,47.7698,2014-05-02,13.06048797368624,train,98011,BOTHELL,"Northeast 195th Street, Bothell, King County, Washington, United States"
7,4,2.5,1940,10500,1.0,0,0,4,7,1140,1976,-122.114,47.683,2014-05-02,13.217673557208654,train,98052,REDMOND,"170th Avenue Northeast, Redmond, King County, Washington, United States"
8,3,1.5,1340,7912,1.5,0,0,3,7,1340,1955,-122.339,47.7658,2014-05-02,12.65395846952229,train,98133,SEATTLE,"Densmore Avenue North, Echo Lake, Shoreline, King County, Washington, United States"
9,4,2.5,2200,9397,2.0,0,0,3,8,2200,1987,-122.269,47.3406,2014-05-02,12.560244459250788,train,98001,AUBURN,"South 292nd Street, Auburn, King County, Washington, United States"
10,4,2.5,2730,12261,2.0,0,0,3,9,2730,1991,-122.205,47.7419,2014-05-02,13.32530422140102,train,98011,BOTHELL,"Northeast 156th Place, Bridlewood, Wayne, Bothell, King County, Washington, United States"
11,4,2.5,3630,42884,1.5,0,0,3,9,2300,1979,-122.19,47.2617,2014-05-02,12.89921982609012,train,98092,AUBURN,
12,4,1.75,1600,6380,1.0,0,0,3,8,1130,1959,-122.306,47.701,2014-05-02,13.112313041550829,train,98125,SEATTLE,"Northeast 100th Street, Maple Leaf, Seattle, King County, Washington, United States"
13,3,2.5,1930,10460,2.0,0,0,3,8,1930,1996,-122.161,47.4938,2014-05-02,12.917796211663054,train,98059,RENTON,"Northeast 6th Place, Orchards, Renton, King County, Washington, United States"
14,3,3.25,1320,1327,2.0,0,0,3,8,1040,2008,-122.383,47.6506,2014-05-02,12.86099861326992,train,98199,SEATTLE,"21st Avenue West, Southeast Magnolia, Magnolia, Seattle, King County, Washington, United States"
